Number	Type	Subtype	Old	Audited	Title	Hypothesis	Data_Required	Analysis_Specification	Expected_Output	Success_Criteria
5.3.7	Paradigms	Paradigm-Specific Variance Decomposition	TODO	No	What proportion of variance in forgetting rate is between-person vs within-person for each paradigm?	Substantial between-person variance (ICC > 0.40) exists within each paradigm, with potential paradigm differences reflecting differential trait-like stability.	DERIVED from RQ 5.3.1: best-fitting LMM model. Theta scores. Sample: N=100, 1200 observations (3 paradigms). No new IRT calibration.	(1) Fit paradigm-stratified LMMs with random slopes. (2) Extract variance components per paradigm. (3) Compute ICC per paradigm. (4) Extract individual random effects. (5) Test intercept-slope correlations. (6) Compare ICC across paradigms.	data/step02_variance_components.csv (15 rows); data/step03_icc_estimates.csv (9 rows); data/step04_random_effects.csv (300 rows); data/step05_paradigm_icc_comparison.csv; plots/step06_paradigm_icc_barplot.png	All 3 models converge. ICC in [0,1]. 300 random effects. Dual p-values. Paradigm comparison interpretable.
5.3.8	Paradigms	Paradigm-Based Clustering	TODO	No	Can participants be grouped into latent classes based on paradigm-specific forgetting trajectories?	Exploratory. Expected 2-4 profiles based on 6 clustering variables (intercept + slope per paradigm). Profiles may show paradigm-selective patterns.	DERIVED from RQ 5.3.7: random effects per paradigm. Sample: N=100, 6 clustering variables.	(1) Load random effects from RQ 5.3.7. (2) Standardize. (3) Test K=1-6 with K-means and BIC. (4) Fit final K-means. (5) Characterize clusters by paradigm patterns. (6) Scatter plot matrix.	data/step01_standardized_features.csv; results/step02_cluster_selection.csv; data/step04_cluster_assignments.csv; results/step05_cluster_characterization.txt; plots/step06_cluster_scatter_matrix.png	Random effects loaded. BIC minimum identified. Cluster sizes >= 10%. Paradigm-specific interpretations.
5.3.9	Paradigms	Paradigm × Item Difficulty Interaction	TODO	No	Do easier items show faster forgetting than harder items, and does this differ by paradigm?	Exploratory. Tests if item difficulty x time interaction differs across Free/Cued/Recognition. Recognition may show strongest difficulty effect (more item-dependent).	Item parameters from RQ 5.3.1. Raw response data. TSVR mapping. Crossed random effects.	(1) Load item parameters and responses. (2) Merge difficulty and paradigm. (3) Center Difficulty_c. (4) Fit: Response ~ Time x Difficulty_c x paradigm + (Time | UID) + (1 | Item). (5) Extract interactions. (6) Plot by paradigm.	data/step00_item_difficulty_by_paradigm.csv; results/step03_difficulty_paradigm_interaction.csv; plots/step04_difficulty_trajectories_by_paradigm.png	Model converged. Paradigm-stratified interactions. Plot: 6 lines.
5.4.1	Congruence	Schema-Specific Trajectories	5.5	No	Does schema congruence (common, congruent, incongruent) affect the trajectory of episodic forgetting over 6 days?	Congruent items (schema-consistent) show slower forgetting than incongruent items (schema-violating). Common items (schema-neutral) fall between. Expected: significant Congruence x Time interaction.	Source: RQ 5.2.1 data filtered to interactive paradigms (IFR/ICR/IRE). Q-matrix: common (*-i1/*-i2), congruent (*-i3/*-i4), incongruent (*-i5/*-i6). Sample: N=100 x 4 tests = 400 observations. Time: TSVR_hours.	(0) Filter to interactive paradigms, create congruence Q-matrix. (1) IRT Pass 1: 3-factor GRM. (2) Purify (Decision D039). (3) IRT Pass 2. (4) Merge with TSVR, reshape to long. (5) Fit 5 LMMs; select best via AIC. (6) Post-hoc contrasts: Congruent-Common, Incongruent-Common, Bonferroni alpha=0.0167. Report dual p-values (Decision D068). (7) Trajectory data (Decision D069).	data/step03_theta_scores.csv; results/step05_model_comparison.csv; results/step05_lmm_model_summary.txt; results/step06_post_hoc_contrasts.csv; results/step06_effect_sizes.csv; plots/step07_trajectory_theta_data.csv; plots/step07_trajectory_probability_data.csv	IRT convergence. 50-90 items retained. LMM converged. Post-hoc dual p-values. Plot: 12 rows, probability in [0,1].
5.4.2	Congruence	Schema Consolidation Benefit	5.6	No	Is the schema congruence effect driven by differential consolidation (Day 0-1) or later decay (Day 1-6)?	Congruent items show less forgetting during consolidation window (Day 0-1) compared to incongruent items, as schema-based memory benefits from sleep-dependent consolidation.	DERIVED from RQ 5.4.1: results/ch5/5.4.1/data/step03_theta_scores.csv (400 rows, 7 cols). TSVR from master.xlsx. Sample: N=100, 1200 observations (reshaped). Segments: Early (0-24h), Late (24-168h).	(0) Load RQ 5.4.1 theta, validate. (1) Reshape wide->long, merge TSVR, assign segments, compute Days_within. (2) Fit piecewise LMM: theta ~ Days_within x Segment x Congruence + (1 + Days_within | UID). (3) Extract 6 segment-congruence slopes. (4) Extract 11 hypothesis tests with Bonferroni alpha=0.0033. Report dual p-values (Decision D068). (5) Validate assumptions, run sensitivity analyses. (6) Prepare two-panel plot data.	data/step00_theta_scores_from_rq5.csv; data/step01_lmm_input_piecewise.csv (1200 rows); data/step02_piecewise_lmm_model.pkl; results/step03_segment_slopes.csv (6 rows); results/step04_hypothesis_tests.csv (11 rows); results/step05_assumption_validation.txt; results/step05_sensitivity_analyses.csv (7 rows); plots/step06_piecewise_early_data.csv; plots/step06_piecewise_late_data.csv	Model converged. 6 slopes with valid SE/CI. 11 hypothesis tests with dual p-values. Sensitivity analyses complete. Plot data: correct segment assignments.
5.4.3	Congruence	Age × Schema Interactions	TODO	No	Does the effect of age on forgetting rate vary by schema congruence?	Age x Time effects may be strongest for incongruent items (least schema support for consolidation). 3-way Age x Congruence x Time interaction significant at Bonferroni alpha=0.025.	DERIVED from RQ 5.4.1: theta scores (1200 rows after reshape), TSVR mapping. Age from data/cache/dfData.csv. Sample: N=100, 1200 observations. Transformations: Age_c, log_TSVR.	(0) Load RQ 5.4.1 theta + Age. (1) Merge, center Age, create log_TSVR. (2) Fit LMM with 3-way Age x congruence x Time interactions. (3) Extract 4 three-way terms, Bonferroni alpha=0.025. (4) Congruence-specific age effects at Day 3 with Tukey HSD. Report dual p-values (Decision D068). (5) Plot by age tertiles.	data/step01_lmm_input.csv; data/step02_lmm_model.pkl; data/step03_interaction_terms.csv; data/step04_age_effects_by_congruence.csv; plots/step05_age_effects_plot_data.csv	Model converged. 4 three-way terms. Dual p-values. 3 congruence levels with age effects. Plot complete.
5.4.4	Congruence	IRT-CTT Convergence	TODO	No	Do IRT theta scores and CTT mean scores yield the same conclusions about congruence-specific forgetting trajectories?	IRT and CTT should converge (r > 0.70; Cohen's kappa > 0.60), demonstrating robustness of congruence findings to measurement approach.	IRT theta from RQ 5.4.1. TSVR and purified items from RQ 5.4.1. Raw data: data/cache/dfData.csv. Sample: N=100 x 4 tests x 3 congruence = 1200 observations.	(0) Load IRT theta, TSVR, purified items from RQ 5.4.1. (1) Compute CTT mean scores per UID x test x congruence. (2) Pearson correlations per congruence with Holm-Bonferroni. Report dual p-values (Decision D068). (3) Fit parallel LMMs. (4) Validate assumptions. (5) Compare fixed effects: Cohen's kappa. (6) Compare AIC/BIC. (7-8) Prepare scatterplot and trajectory data.	results/step02_correlations.csv; results/step03_irt_lmm_summary.txt; results/step03_ctt_lmm_summary.txt; results/step05_coefficient_comparison.csv; results/step05_agreement_metrics.csv; plots/step07_scatterplot_data.csv; plots/step08_trajectory_data.csv	All correlations r > 0.70. Cohen's kappa > 0.60. Agreement >= 80%. Both models converge. Dual p-values present.
5.4.5	Congruence	Purified CTT Effects	TODO	No	If we compute CTT scores using only IRT-retained items, do conclusions differ from full-item CTT for congruence?	Purified CTT will show higher correlation with IRT theta compared to full CTT for congruence categories.	DERIVED from RQ 5.4.1: purified items, theta scores, TSVR mapping. Raw data: data/cache/dfData.csv. Sample: N=100 x 4 tests = 400 observations.	(0) Load RQ 5.4.1 outputs. (1) Map retained vs removed items by congruence. (2) Compute Full CTT. (3) Compute Purified CTT. (4) Cronbach's alpha with bootstrap CIs. (5) Correlation analysis with Steiger's z-test. Report dual p-values (Decision D068). (6) Z-standardize. (7) Fit parallel LMMs; compare AIC. (8) Prepare comparison data.	data/step01_item_mapping.csv; data/step02_ctt_full_scores.csv; data/step03_ctt_purified_scores.csv; data/step04_reliability_assessment.csv; data/step05_correlation_analysis.csv; data/step07_lmm_model_comparison.csv; plots/step08_correlation_comparison_data.csv	Item mapping correct. CTT scores in [0,1]. Correlations with dual p-values. All LMMs converge.
5.4.6	Congruence	Schema-Specific Variance Decomposition	TODO	No	What proportion of variance in forgetting rate is between-person vs within-person for each congruence level?	Substantial between-person variance (ICC > 0.40) exists within each congruence level, potentially differing by schema support.	DERIVED from RQ 5.4.1: best-fitting LMM model. Theta scores. Sample: N=100, 1200 observations (3 congruence levels). No new IRT calibration.	(1) Fit congruence-stratified LMMs with random slopes. (2) Extract variance components per congruence. (3) Compute ICC per congruence. (4) Extract individual random effects. (5) Test intercept-slope correlations. (6) Compare ICC across congruence levels.	data/step02_variance_components.csv (15 rows); data/step03_icc_estimates.csv (9 rows); data/step04_random_effects.csv (300 rows); data/step05_congruence_icc_comparison.csv; plots/step06_congruence_icc_barplot.png	All 3 models converge. ICC in [0,1]. 300 random effects. Dual p-values. Congruence comparison interpretable.
5.4.7	Congruence	Schema-Based Clustering	TODO	No	Can participants be grouped into latent classes based on congruence-specific forgetting trajectories?	Exploratory. Expected 2-4 profiles based on 6 clustering variables. Profiles may show schema-selective patterns (e.g., poor memory for schema-violating items only).	DERIVED from RQ 5.4.6: random effects per congruence. Sample: N=100, 6 clustering variables.	(1) Load random effects from RQ 5.4.6. (2) Standardize. (3) Test K=1-6 with K-means and BIC. (4) Fit final K-means. (5) Characterize clusters by congruence patterns. (6) Scatter plot matrix.	data/step01_standardized_features.csv; results/step02_cluster_selection.csv; data/step04_cluster_assignments.csv; results/step05_cluster_characterization.txt; plots/step06_cluster_scatter_matrix.png	Random effects loaded. BIC minimum identified. Cluster sizes >= 10%. Congruence-specific interpretations.
5.4.8	Congruence	Congruence × Item Difficulty Interaction	TODO	No	Do easier items show faster forgetting than harder items, and does this differ by congruence?	Exploratory. Tests if item difficulty x time interaction differs across Common/Congruent/Incongruent. Incongruent items may show strongest difficulty effect.	Item parameters from RQ 5.4.1. Raw response data. TSVR mapping. Crossed random effects.	(1) Load item parameters and responses. (2) Merge difficulty and congruence. (3) Center Difficulty_c. (4) Fit: Response ~ Time x Difficulty_c x congruence + (Time | UID) + (1 | Item). (5) Extract interactions. (6) Plot by congruence.	data/step00_item_difficulty_by_congruence.csv; results/step03_difficulty_congruence_interaction.csv; plots/step04_difficulty_trajectories_by_congruence.png	Model converged. Congruence-stratified interactions. Plot: 6 lines.
